,FirstName,LastName,Birthdate,Email,PhoneNumber,Churn
0,Neha,West,1948-03-17,kristina68@example.net,(430)850-5833x54065,No
1,Kim,Hale,1969-07-12,martinaguilar@example.net,327.992.7584x80896,No
2,Jessica,Parker,1950-12-18,jenniferchavez@example.net,+1-313-397-0247,Yes
3,Ronald,Walters,1982-09-01,anthony99@example.com,201-526-6734,No
4,David,Phillips,1997-04-20,fbailey@example.org,249.303.2032x93782,No
5,Lisa,Neal,1965-05-10,lucerotammy@example.com,665-693-6145x0839,No
6,Barbara,Garrett,1964-09-21,johnmendez@example.net,+1-802-329-7767x7961,No
7,Melinda,Gomez,2002-12-06,jamesmullins@example.com,(611)988-9560x123,No
8,Matthew,Hester,1960-04-18,bradley69@example.com,001-560-869-1687x92727,No
9,Theresa,Tucker,1942-11-15,thomastodd@example.org,930.528.1424x7385,Yes
10,Elaine,Fleming,1961-07-02,fernandomurphy@example.net,363-918-3541x8959,Yes
11,Bradley,Barry,1993-06-10,darrellmorgan@example.net,7213779957,No
12,Heather,Gregory,1955-09-02,jacob97@example.net,(667)901-5799x9784,Yes
13,Jared,Martin,1982-07-12,rogersashley@example.net,664.262.8927x54082,Yes
14,Debra,Fuller,1997-01-16,xcarroll@example.org,535.958.0140x22460,No
15,Jennifer,Lopez,1951-06-26,cainana@example.org,5096256036,Yes
16,Patrick,Smith,1998-07-19,sotoryan@example.com,5234726092,No
17,Chelsea,Edwards,2005-01-11,pbrooks@example.org,(764)812-0961,Yes
18,Tracy,Garcia,1965-05-24,uwilkins@example.com,(684)472-5601x2695,Yes
19,Kathryn,Hall,1948-06-25,ericksonblake@example.net,(719)585-4371x84394,No
20,Samantha,Morrow,1988-10-31,tdiaz@example.com,303-885-6645,No
21,Tony,Andrade,1990-04-04,shannon20@example.net,785-750-2597,Yes
22,Mark,Lang,1998-05-12,vvalentine@example.com,(390)647-6121,No
23,Michael,Jordan,1979-09-26,hermandwayne@example.com,(453)918-7413,No
24,Stacie,Cunningham,1969-04-02,donald00@example.com,+1-312-390-7716x04965,No
25,Briana,Macias,1948-11-06,catherinehall@example.net,319-730-1713x72062,Yes
26,Patrick,Joseph,1982-03-08,allenjohn@example.com,280.582.2936x759,No
27,Kathy,Blevins,1956-01-11,jacksonbrian@example.com,001-517-346-6541,No
28,Jacob,Jimenez,1962-02-20,nicolevincent@example.org,(560)515-8388,No
29,Aaron,Payne,1951-03-14,pnorton@example.org,(724)510-1365x33817,Yes
30,Shannon,Castro,1972-12-12,trobinson@example.org,850-672-9009,Yes
